ID,X,Y,Surowiec,IloscMiejsc
1,475,365,Diamenty,3
2,316,489,Srebro,5
3,449,632,Miedz,5
4,475,355,Zloto,2
5,79,194,Zelazo,4
6,362,674,Miedz,4
7,290,729,Zelazo,5
8,545,486,Zloto,3
9,745,596,Diamenty,6
10,664,267,Zelazo,2
11,297,279,Zloto,3
12,163,197,Diamenty,4
13,132,288,Wegiel,2
14,372,300,Miedz,5
15,546,580,Zelazo,3
16,738,514,Zloto,5
17,704,400,Miedz,3
18,706,224,Miedz,4
19,411,555,Miedz,3
20,608,374,Wegiel,5
21,280,130,Srebro,2
22,204,523,Wegiel,2
23,229,535,Diamenty,6
24,315,718,Srebro,4
25,274,130,Srebro,3
26,670,667,Srebro,6
27,705,718,Wegiel,3
28,479,443,Zloto,4
29,67,257,Srebro,3
30,71,718,Zloto,2
31,537,61,Srebro,5
32,243,413,Diamenty,5
33,397,404,Miedz,4
34,123,158,Wegiel,2
35,54,209,Zelazo,4
36,578,288,Srebro,6
37,697,411,Diamenty,5
38,306,117,Zloto,5
39,73,196,Miedz,3
40,683,640,Wegiel,6
41,403,434,Miedz,6
42,445,674,Zelazo,5
43,586,645,Diamenty,5
44,190,245,Srebro,4
45,381,334,Diamenty,4
46,233,121,Wegiel,6
47,356,517,Wegiel,5
48,398,466,Diamenty,6
49,318,438,Zloto,5
50,139,255,Zloto,6
