ID,ID_kopalni,Mineraly,X,Y
1,0,Srebro;Wegiel,1480,1453
2,0,Miedz;Zloto,5358,2151
3,0,Wegiel;Srebro;Miedz,6182,7596
4,0,Zelazo,6671,4807
5,0,Miedz;Zloto;Srebro,7011,6378
6,0,Srebro,6600,4167
7,0,Miedz;Zelazo,7286,7437
8,0,Zelazo;Diamenty;Miedz,2704,7163
9,0,Wegiel;Zloto;Zelazo,857,7328
10,0,Zloto;Wegiel;Miedz,7044,5206
11,0,Diamenty,6096,3649
12,0,Miedz;Srebro;Zloto,3544,5647
13,0,Zloto,6987,485
14,0,Wegiel;Miedz;Diamenty,3763,2278
15,0,Zelazo,6992,4486
16,0,Miedz;Wegiel;Zloto,5473,3618
17,0,Srebro,4182,2166
18,0,Diamenty;Zloto,3559,2467
19,0,Zelazo,2351,4110
20,0,Srebro;Miedz,4016,5308
21,0,Miedz,2454,1373
22,0,Wegiel;Zloto,2569,6619
23,0,Miedz;Zloto;Srebro,2812,84
24,0,Miedz,1487,2739
25,0,Miedz;Wegiel,3371,4533
26,0,Miedz;Diamenty;Zloto,6416,3714
27,0,Srebro,6237,6975
28,0,Zloto;Diamenty,1969,2913
29,0,Diamenty;Srebro;Zelazo,2024,7844
30,0,Wegiel;Zelazo,1067,7079
31,0,Miedz;Zelazo,2756,5455
32,0,Wegiel;Zloto;Srebro,5042,2192
33,0,Diamenty,4622,4108
34,0,Zloto,6374,4279
35,0,Miedz;Srebro;Diamenty,4744,1655
36,0,Wegiel;Diamenty,5105,7890
37,0,Zelazo;Zloto,6078,6038
38,0,Srebro,4332,1497
39,0,Zloto,77,6602
40,0,Diamenty;Wegiel,5200,2929
41,0,Wegiel;Miedz;Srebro,2861,5690
42,0,Wegiel;Diamenty;Zloto,3165,2618
43,0,Zelazo;Wegiel;Diamenty,4532,3461
44,0,Miedz;Srebro;Diamenty,6375,311
45,0,Diamenty,7354,6630
46,0,Srebro;Miedz,6786,6595
47,0,Srebro;Zloto;Wegiel,3612,1545
48,0,Wegiel;Srebro,6363,7598
