ID,X,Y,Surowiec,IloscMiejsc
1,5292,3163,Zelazo,5
2,7241,4300,Zelazo,6
3,633,3817,Wegiel,6
4,3418,2192,Miedz,2
5,1136,1469,Diamenty,2
6,7412,7148,Diamenty,4
7,6818,7340,Wegiel,6
8,4322,2366,Diamenty,2
9,405,1875,Srebro,4
10,7161,4771,Zloto,3
11,6048,5776,Srebro,5
12,4901,94,Zelazo,6
13,1814,84,Wegiel,3
14,1130,3037,Zelazo,3
15,3702,3270,Srebro,5
16,7372,3017,Miedz,4
17,5544,5768,Wegiel,3
18,655,7611,Diamenty,2
19,1364,3334,Miedz,5
20,5190,1244,Miedz,5
21,509,4315,Miedz,4
22,2047,5336,Zelazo,2
23,6905,3878,Zelazo,6
24,4961,6429,Zloto,4
25,4564,213,Srebro,4
26,7736,83,Miedz,4
27,3044,4421,Diamenty,3
28,5491,994,Zloto,2
29,3410,5706,Srebro,5
30,5964,930,Zelazo,4
31,5427,4984,Wegiel,2
32,5650,3528,Zelazo,4
33,6456,7696,Zelazo,6
34,859,2196,Srebro,3
35,7095,680,Zloto,4
36,811,4534,Srebro,4
37,3398,3948,Wegiel,3
38,5795,1220,Miedz,5
39,4646,6817,Srebro,3
40,5552,6376,Miedz,2
41,474,2067,Diamenty,3
42,3868,2828,Srebro,2
43,6881,4785,Zelazo,5
44,1335,4991,Zloto,3
45,1779,5657,Zloto,2
46,2591,1223,Diamenty,3
47,528,5912,Wegiel,3
48,6508,1624,Diamenty,6
49,853,6523,Miedz,6
50,6815,3364,Miedz,5
51,5254,6324,Wegiel,6
52,5069,7334,Zloto,4
53,7207,276,Srebro,5
54,2563,2135,Zelazo,4
55,6016,5582,Zelazo,2
56,4543,3631,Diamenty,4
57,6271,2678,Srebro,3
58,250,7462,Srebro,4
59,2474,4189,Zloto,2
60,276,2467,Miedz,3
61,6183,6078,Miedz,3
62,7211,7582,Zloto,5
63,4846,3320,Miedz,4
64,468,753,Zloto,6
65,4025,416,Zelazo,6
66,5384,7067,Diamenty,5
67,3130,538,Miedz,3
68,7378,1768,Diamenty,5
69,1496,6011,Zloto,5
70,4445,1308,Srebro,5
71,3396,3250,Srebro,5
