ID,X,Y,Surowiec,IloscMiejsc
1,2933,7693,Srebro,4
2,2405,3475,Miedz,2
3,4973,1946,Miedz,2
4,4618,7104,Srebro,6
5,103,5285,Diamenty,2
6,818,7556,Srebro,2
7,7228,2653,Zloto,3
8,7386,5247,Srebro,6
9,6012,1651,Zelazo,3
10,517,6960,Zloto,4
11,4519,6803,Zelazo,5
12,1574,2669,Wegiel,3
13,1056,4287,Zloto,5
14,2081,5199,Srebro,2
15,2880,6475,Zloto,3
16,2224,1289,Wegiel,4
17,3076,7170,Zelazo,4
18,4189,79,Miedz,6
19,2527,4181,Zelazo,4
20,1783,6157,Zloto,3
21,5715,4417,Diamenty,6
22,2639,5211,Wegiel,6
23,1379,6017,Zelazo,3
24,3820,7447,Miedz,2
25,5588,983,Srebro,6
26,5692,7053,Diamenty,6
27,2731,5045,Srebro,3
28,3110,6233,Diamenty,4
29,6768,7313,Zloto,4
30,4343,7843,Wegiel,5
