ID,X,Y,Surowiec,IloscMiejsc
1,5186,5750,Srebro,6
2,6913,6642,Wegiel,2
3,5272,111,Miedz,4
4,2324,6382,Zelazo,5
5,1270,3712,Srebro,4
6,4381,7277,Wegiel,4
7,4731,1327,Miedz,3
8,1547,2584,Zelazo,4
9,3802,7682,Srebro,5
10,402,1196,Zelazo,6
11,5435,7896,Miedz,2
12,7579,4037,Wegiel,4
13,7818,1688,Zelazo,4
14,2487,2845,Zloto,3
15,204,7844,Wegiel,6
16,4018,3511,Zloto,6
17,2879,3171,Diamenty,4
18,684,6463,Miedz,2
19,5811,1105,Miedz,2
20,1915,4641,Diamenty,3
21,2429,626,Diamenty,4
22,7496,6742,Srebro,5
23,7126,3207,Zelazo,3
24,3499,3484,Wegiel,2
25,3020,6544,Miedz,6
26,4034,4537,Zelazo,2
27,907,4270,Diamenty,4
28,1282,1858,Zelazo,4
29,2494,7010,Miedz,5
30,1691,114,Srebro,2
31,2736,4635,Zelazo,6
32,4887,6666,Zloto,3
33,6967,849,Diamenty,5
34,5391,5716,Diamenty,5
35,7134,7346,Zelazo,4
36,5021,7646,Miedz,2
37,7432,6362,Srebro,3
38,6053,1389,Zelazo,6
39,823,5220,Srebro,3
40,2242,4440,Srebro,5
41,3744,184,Miedz,5
42,6296,1448,Zelazo,2
43,607,696,Miedz,6
44,3540,1373,Zloto,3
45,6966,1788,Miedz,5
46,1622,2654,Zloto,3
47,995,4487,Miedz,2
48,777,611,Zelazo,5
49,4951,2007,Diamenty,3
50,2789,1277,Wegiel,6
51,4206,4027,Zelazo,4
52,2104,2852,Miedz,5
53,7791,2637,Zloto,3
54,3707,4799,Zelazo,5
55,4832,7365,Wegiel,4
56,2395,1464,Zelazo,5
57,279,3971,Wegiel,5
58,4854,2995,Srebro,6
59,381,422,Miedz,5
60,5700,2024,Miedz,2
61,4599,5377,Diamenty,3
62,7444,6331,Diamenty,3
63,2782,4402,Srebro,3
64,6022,2741,Zloto,2
