ID,X,Y,Surowiec,IloscMiejsc
1,641,6666,Diamenty,2
2,2534,2578,Miedz,3
3,1446,1348,Zloto,4
4,4268,811,Diamenty,6
5,5509,5518,Srebro,2
6,727,1624,Wegiel,4
7,7748,110,Miedz,3
8,1217,2847,Miedz,5
9,1909,962,Miedz,4
10,6999,239,Miedz,5
11,322,4485,Diamenty,3
12,7149,7278,Diamenty,2
13,5971,1686,Diamenty,6
14,279,4626,Zloto,2
15,5706,4222,Zelazo,5
16,5864,1770,Diamenty,6
17,641,3757,Diamenty,3
18,5058,2802,Miedz,2
19,7297,5733,Zloto,6
20,674,1375,Zloto,3
21,1934,4918,Srebro,5
22,1144,4118,Wegiel,2
23,3576,7673,Wegiel,3
24,3693,3650,Diamenty,5
25,1031,635,Diamenty,6
26,6325,91,Srebro,4
27,5262,1729,Wegiel,3
28,959,749,Wegiel,4
29,1406,5717,Miedz,5
30,5900,3235,Zelazo,3
31,1721,3272,Miedz,2
32,7051,74,Zelazo,5
33,7719,6264,Miedz,3
34,5931,3223,Zloto,5
35,3239,6377,Srebro,2
36,7014,4930,Wegiel,6
37,4198,3960,Zelazo,3
38,6667,230,Diamenty,3
39,7702,2814,Miedz,3
40,6311,3882,Wegiel,3
41,2839,3970,Zelazo,5
42,2604,1272,Srebro,4
43,6936,901,Miedz,4
44,4800,2259,Wegiel,3
45,2088,2195,Zelazo,6
46,6048,6146,Zloto,4
47,2886,762,Zelazo,4
48,6912,6849,Miedz,2
49,2520,3260,Zloto,5
50,6349,4583,Miedz,2
51,6873,3934,Wegiel,6
52,1704,1376,Zelazo,2
53,3873,1415,Srebro,5
54,5858,5154,Wegiel,2
55,4256,7106,Zelazo,3
56,7119,2464,Wegiel,3
57,1392,7949,Miedz,3
58,3298,2736,Miedz,6
59,5353,1512,Miedz,3
60,681,3952,Diamenty,3
61,2106,4678,Diamenty,5
62,4199,3410,Zelazo,2
63,2285,3348,Zelazo,2
64,2809,369,Diamenty,5
65,4505,853,Srebro,2
66,5437,515,Wegiel,6
67,2496,4238,Miedz,2
68,1425,7817,Wegiel,6
69,5951,4838,Diamenty,4
70,3596,1253,Diamenty,5
