ID,X,Y,Surowiec,IloscMiejsc
1,3698,1630,Zelazo,6
2,4712,540,Zloto,3
3,6005,5173,Wegiel,2
4,1637,4353,Miedz,4
5,3621,3044,Wegiel,2
6,3771,6555,Srebro,2
7,1090,291,Wegiel,3
8,6070,7525,Miedz,3
9,1213,2011,Srebro,2
10,1147,2910,Zelazo,5
11,4565,4915,Wegiel,4
12,6092,2656,Wegiel,6
13,5583,6446,Zloto,6
14,4134,5757,Wegiel,6
15,7204,1762,Zloto,2
16,206,1151,Srebro,3
17,5303,1711,Miedz,4
18,2592,2487,Srebro,5
19,1826,2609,Srebro,3
20,315,4445,Zelazo,5
21,3135,6561,Diamenty,4
22,3320,5574,Srebro,3
23,1997,627,Zelazo,5
24,1138,5115,Zloto,5
25,7938,4746,Srebro,6
26,5917,4908,Diamenty,3
27,7165,6529,Diamenty,5
28,7289,2032,Miedz,3
29,4779,3206,Zloto,2
30,4722,1997,Miedz,5
31,750,1183,Zloto,2
32,6671,5881,Srebro,5
33,4401,3991,Wegiel,6
34,3653,3082,Zloto,2
35,1145,6415,Zelazo,6
36,4459,7901,Zelazo,5
37,1685,3509,Miedz,4
38,3296,2348,Zloto,2
39,4732,5910,Wegiel,5
40,2755,4250,Zelazo,4
41,5192,7768,Srebro,5
42,4906,2914,Zloto,6
43,2872,5759,Miedz,2
44,6103,819,Zelazo,4
45,2896,1360,Zloto,2
46,7177,2641,Zloto,3
47,4517,6531,Wegiel,2
48,1958,6279,Zelazo,3
49,6371,4549,Zloto,5
50,7678,4631,Zloto,3
51,2801,6357,Miedz,6
52,245,5819,Zelazo,4
53,6983,1201,Miedz,4
54,3214,5515,Wegiel,3
55,582,7922,Zelazo,3
56,3948,6111,Miedz,2
57,5880,5282,Miedz,4
58,7591,3015,Zloto,3
59,1811,1419,Zloto,6
60,2355,5945,Miedz,5
61,7656,5489,Miedz,2
62,4748,2821,Srebro,5
63,1638,4508,Miedz,5
64,7301,2731,Srebro,5
65,4699,3481,Srebro,4
66,6685,3179,Miedz,5
67,3808,5993,Srebro,3
68,7779,4680,Srebro,5
69,6863,6604,Diamenty,4
70,2797,1247,Zloto,4
71,68,6716,Zelazo,4
72,2532,1006,Diamenty,5
73,2966,6146,Zloto,2
74,3288,5760,Diamenty,3
75,4880,6175,Diamenty,5
76,259,7434,Miedz,6
77,7165,1068,Zloto,6
78,6541,4769,Diamenty,4
79,7426,6843,Zelazo,2
80,3202,4210,Diamenty,3
81,3739,6124,Zelazo,3
82,5282,6627,Wegiel,6
83,4089,4053,Srebro,4
84,408,75,Miedz,2
85,3920,1636,Zelazo,4
86,3293,3919,Diamenty,2
87,6933,4519,Zelazo,6
88,1646,6734,Srebro,4
89,5830,6487,Wegiel,2
90,4962,6581,Wegiel,5
91,469,78,Zelazo,2
92,4525,7611,Diamenty,4
93,7367,6993,Miedz,5
94,3161,2149,Miedz,2
95,3979,7110,Miedz,6
96,5046,6236,Srebro,6
97,6152,6878,Zloto,4
98,3503,2392,Wegiel,2
99,3657,6164,Zelazo,6
100,2298,2211,Miedz,2
101,5486,4427,Wegiel,2
102,3632,621,Wegiel,6
103,7425,7582,Zloto,6
104,4463,1812,Zelazo,5
105,6593,675,Srebro,2
106,3004,3546,Miedz,4
107,2758,7468,Srebro,3
108,6077,6770,Miedz,3
109,4465,3653,Miedz,5
110,3330,5339,Zelazo,5
111,123,7326,Miedz,5
112,7827,3838,Diamenty,2
113,4218,122,Diamenty,5
114,1730,2383,Miedz,2
115,5307,4182,Wegiel,6
116,6436,5905,Zloto,3
117,6684,4039,Zelazo,3
118,3375,5388,Zelazo,6
119,1994,6576,Zelazo,4
120,2120,2894,Srebro,2
121,5680,2991,Zelazo,2
122,6211,2498,Miedz,2
123,2635,4382,Zelazo,3
124,4424,7718,Zloto,6
125,2846,2147,Zloto,2
126,2410,1881,Miedz,4
127,2694,7000,Srebro,6
128,7748,1413,Srebro,5
129,5697,5124,Zloto,2
130,1904,6733,Srebro,3
131,2071,4110,Wegiel,5
132,1703,2441,Srebro,6
133,4142,7502,Zloto,6
134,5835,6972,Wegiel,3
135,3231,6491,Miedz,6
136,6129,4828,Zloto,4
137,882,2604,Srebro,5
138,4045,7862,Miedz,6
139,2546,3479,Miedz,6
140,7544,3288,Miedz,4
141,1856,533,Wegiel,4
142,3127,1113,Zelazo,5
143,405,4737,Diamenty,3
144,3645,4406,Zelazo,2
145,2143,3766,Miedz,6
146,6647,5476,Miedz,2
147,7406,2283,Zloto,2
148,4253,3909,Diamenty,6
149,3005,7919,Wegiel,6
150,6856,3453,Zloto,3
151,198,975,Zloto,5
152,4743,3554,Diamenty,5
153,1498,6647,Zelazo,3
154,5770,469,Wegiel,2
155,1117,2034,Srebro,4
156,6508,2479,Zloto,6
157,7944,4249,Zloto,4
158,6618,7592,Wegiel,4
159,4401,5283,Wegiel,3
160,4148,1472,Miedz,3
161,6793,7574,Diamenty,3
162,1603,5104,Zelazo,5
163,3394,4509,Diamenty,4
164,7246,1262,Zloto,6
165,4236,1097,Zloto,6
166,795,6883,Miedz,5
167,5625,1865,Srebro,2
168,2181,6549,Wegiel,2
169,7601,5529,Zloto,2
170,6193,6369,Miedz,5
171,347,4925,Zloto,6
172,365,4208,Diamenty,6
173,1740,2928,Zloto,6
174,7550,7547,Zloto,5
175,1501,3634,Wegiel,2
176,501,167,Zloto,2
177,7680,7206,Zelazo,4
178,2045,6565,Zelazo,2
179,6713,7611,Wegiel,3
180,3303,7423,Srebro,4
181,6856,3785,Zelazo,4
182,4009,3192,Miedz,3
183,95,4707,Zelazo,2
184,7605,1379,Diamenty,5
185,7100,2070,Srebro,6
186,3449,918,Diamenty,2
187,5405,6458,Wegiel,3
188,2534,2336,Zloto,3
189,2503,7897,Zloto,4
190,2147,4107,Zloto,2
191,735,825,Miedz,5
192,4499,5596,Diamenty,4
193,3591,5246,Srebro,4
194,3277,1725,Diamenty,3
195,1851,6468,Srebro,5
196,7063,7256,Srebro,4
197,670,4607,Zelazo,3
198,1076,6671,Wegiel,6
199,736,6458,Diamenty,3
200,5424,7946,Miedz,3
201,4876,4824,Zelazo,6
202,2311,7914,Srebro,2
203,6581,4888,Zloto,3
204,1788,1452,Wegiel,3
205,7897,6581,Wegiel,6
206,1325,1192,Zelazo,2
207,1013,2814,Zelazo,3
208,1947,1816,Srebro,3
209,5330,1461,Zloto,4
210,52,2121,Srebro,6
211,1050,6746,Wegiel,3
212,5479,3131,Diamenty,5
213,2777,3075,Diamenty,5
214,4772,6535,Zloto,6
215,5845,7519,Srebro,3
216,3411,6744,Diamenty,2
217,4900,4036,Miedz,3
218,4419,1747,Diamenty,6
219,1317,747,Miedz,6
220,5700,5423,Miedz,4
221,4618,935,Diamenty,3
222,2315,3368,Wegiel,4
223,1316,6133,Srebro,2
224,7141,6428,Miedz,3
225,2889,5743,Diamenty,6
226,174,3003,Diamenty,6
227,4047,3185,Diamenty,6
228,3141,3408,Wegiel,5
229,2075,1500,Diamenty,4
230,5314,6318,Zloto,6
231,1116,2893,Srebro,5
232,4448,5668,Wegiel,6
233,4417,1875,Miedz,3
234,1119,362,Diamenty,4
235,6711,4323,Wegiel,6
236,1162,3784,Miedz,2
237,5438,3781,Srebro,6
238,7789,6575,Zloto,2
239,1926,3116,Zloto,6
240,7022,2701,Zelazo,3
241,3565,5589,Srebro,2
242,7621,4554,Zloto,3
243,2165,3021,Miedz,4
244,6816,5544,Srebro,4
245,3323,2393,Zelazo,6
246,7348,1550,Miedz,5
247,4878,7037,Miedz,3
248,73,4501,Zloto,6
249,1744,2459,Diamenty,2
250,4092,5694,Wegiel,6
251,3498,1112,Zelazo,4
252,7457,7384,Zloto,3
253,5674,1402,Srebro,6
254,1566,3314,Zelazo,2
255,7299,3711,Diamenty,4
256,3079,305,Zelazo,4
257,6874,633,Wegiel,3
258,7756,5392,Miedz,2
259,4095,3027,Wegiel,2
260,5366,1766,Zelazo,3
261,935,5776,Wegiel,6
262,5495,7484,Zelazo,3
263,7893,2369,Diamenty,2
264,5092,129,Zloto,2
265,6198,417,Wegiel,5
266,7693,1649,Zelazo,4
267,7173,1917,Srebro,3
268,823,7599,Diamenty,5
269,3853,1435,Wegiel,2
270,6924,5359,Zelazo,4
271,7005,836,Wegiel,5
272,2516,2407,Srebro,2
273,5330,4122,Srebro,4
274,7822,7207,Miedz,2
275,4183,5996,Wegiel,4
276,3079,6525,Miedz,5
277,1558,7281,Miedz,3
278,4411,3426,Diamenty,2
279,4100,7808,Zloto,5
280,5349,7512,Srebro,5
281,3414,7062,Zelazo,2
282,2023,2228,Diamenty,6
283,821,3866,Diamenty,5
284,5914,1782,Diamenty,6
285,3594,2335,Miedz,2
286,5926,5951,Zelazo,3
287,3689,196,Wegiel,3
288,6019,1602,Zelazo,4
289,4913,3511,Zelazo,3
290,415,2942,Miedz,3
291,1635,1757,Wegiel,2
292,664,6507,Zelazo,6
293,7259,1760,Diamenty,3
294,7192,1095,Diamenty,6
295,5767,2135,Zelazo,3
296,2220,6889,Miedz,2
297,7098,7384,Wegiel,3
298,709,5444,Zloto,3
299,1131,5359,Miedz,5
300,2849,2631,Diamenty,6
301,7814,4389,Wegiel,3
302,4672,484,Miedz,3
303,4399,3263,Miedz,2
304,2908,3857,Miedz,2
305,149,1439,Srebro,4
306,3236,1947,Zelazo,6
307,1154,561,Wegiel,5
308,1938,4963,Zloto,6
309,5175,4036,Wegiel,6
310,7143,7262,Wegiel,4
311,2707,961,Zelazo,6
312,4617,2932,Zloto,2
313,1614,7846,Wegiel,2
314,1734,4058,Zloto,6
315,1493,6974,Zelazo,4
316,5442,1417,Srebro,6
317,6310,6163,Srebro,6
318,1353,4982,Diamenty,3
319,97,526,Diamenty,4
320,4039,467,Diamenty,6
321,1221,2642,Srebro,4
322,6573,7062,Zloto,6
323,2594,6243,Zloto,5
324,5256,7407,Diamenty,4
325,2602,4676,Zloto,2
326,7657,4027,Zloto,2
327,6040,5886,Zloto,4
328,6566,2203,Zelazo,2
329,4141,571,Miedz,5
330,65,4236,Zelazo,5
331,552,5865,Srebro,5
332,7526,6332,Diamenty,4
333,1828,5260,Diamenty,6
334,51,6500,Miedz,6
335,6282,558,Zelazo,2
336,4575,3232,Wegiel,3
337,3537,3642,Miedz,4
338,4425,5799,Zelazo,3
339,1622,7084,Srebro,6
340,4358,6418,Diamenty,5
341,6367,1524,Zelazo,4
342,6609,7273,Zelazo,5
343,726,3951,Zloto,2
344,7731,7463,Zelazo,6
345,7222,1954,Miedz,4
346,4078,638,Miedz,4
347,3869,7581,Zelazo,2
348,2147,3242,Zloto,6
349,1250,248,Zloto,5
350,2599,3648,Diamenty,2
351,4212,5190,Miedz,5
352,3851,3412,Diamenty,2
353,1243,5151,Srebro,6
354,7644,2546,Zelazo,5
355,1310,4238,Wegiel,2
356,805,5401,Zelazo,5
357,7174,6768,Miedz,2
358,3322,2879,Srebro,6
359,7427,4158,Wegiel,2
360,3134,1461,Miedz,6
361,7901,7900,Miedz,4
362,5740,1256,Miedz,6
363,3896,1139,Zelazo,3
364,3542,788,Srebro,2
365,6374,4856,Diamenty,4
366,667,2963,Wegiel,3
367,7458,5404,Zelazo,4
368,7327,7354,Miedz,3
369,2977,4714,Srebro,2
370,3863,5951,Wegiel,3
371,177,6521,Diamenty,3
372,3469,7789,Wegiel,2
373,3366,588,Zloto,4
374,4289,4964,Srebro,2
375,6998,6011,Zelazo,3
376,6905,3162,Diamenty,6
377,2263,6005,Diamenty,4
378,5028,5649,Zelazo,4
379,2078,3207,Srebro,2
380,2893,692,Diamenty,5
381,7451,4777,Wegiel,4
382,4826,2682,Wegiel,4
383,2926,7490,Zelazo,2
384,3169,1535,Diamenty,6
385,359,5136,Wegiel,5
386,7081,90,Miedz,2
387,5683,6282,Diamenty,4
388,701,4337,Zelazo,6
389,4968,6016,Zelazo,2
390,2681,3812,Zelazo,3
391,756,1662,Wegiel,6
392,524,5846,Diamenty,2
393,7244,2470,Srebro,4
394,6252,5891,Zloto,5
395,5045,4347,Wegiel,4
396,2397,3748,Diamenty,2
397,1094,5810,Zelazo,4
398,5569,4374,Zelazo,3
399,373,4576,Diamenty,6
400,52,7162,Srebro,3
401,3869,2623,Diamenty,3
402,2759,2970,Zloto,2
403,6043,5832,Diamenty,5
404,7704,6896,Miedz,2
405,4980,3929,Miedz,2
406,6521,1133,Miedz,3
407,5879,6798,Srebro,2
408,4068,7052,Diamenty,4
409,5247,6247,Zelazo,3
410,2096,5938,Zloto,3
411,4488,4240,Srebro,5
412,5916,1769,Srebro,2
413,5626,5979,Wegiel,5
414,5701,5350,Srebro,2
415,350,1509,Diamenty,2
416,2120,3289,Srebro,3
417,4069,5613,Zelazo,5
418,6626,7173,Zloto,3
419,6272,6711,Zelazo,2
420,6812,2639,Zloto,3
421,5960,3573,Zloto,6
422,4687,4435,Zloto,2
423,2359,6909,Srebro,6
424,1001,4189,Diamenty,3
425,6369,6987,Srebro,2
426,298,7136,Diamenty,4
427,4551,3625,Miedz,3
428,3723,5301,Wegiel,5
429,2173,2812,Wegiel,2
430,3579,7173,Srebro,4
431,2505,1481,Miedz,2
432,6455,2386,Zelazo,6
433,6679,1481,Zelazo,3
434,7173,7123,Diamenty,3
435,7125,2018,Wegiel,5
436,3459,3829,Srebro,4
437,245,7023,Wegiel,2
438,1709,7606,Wegiel,4
439,288,4554,Zelazo,5
440,2325,2531,Wegiel,4
441,2688,3286,Wegiel,3
442,5064,3469,Zelazo,3
443,2260,2088,Diamenty,6
444,7557,1668,Zloto,3
445,2393,5771,Srebro,5
446,3531,2397,Diamenty,2
447,4988,4129,Srebro,6
448,2040,2634,Wegiel,3
449,162,1807,Miedz,4
450,6357,3727,Miedz,6
451,671,3328,Zloto,5
452,377,564,Miedz,3
453,815,1613,Srebro,6
454,4897,3277,Zloto,4
455,7724,7001,Zloto,6
456,3983,6621,Wegiel,4
457,275,5366,Zloto,3
458,3820,7325,Zloto,2
459,3667,6194,Srebro,4
460,7648,188,Miedz,3
461,4981,2039,Wegiel,5
462,3187,1590,Miedz,6
463,7023,6735,Miedz,4
464,1949,1426,Srebro,4
465,3480,5431,Srebro,6
466,5851,487,Zelazo,3
467,6122,7289,Zelazo,4
468,6144,1098,Zelazo,3
469,2125,3572,Wegiel,2
