ID,X,Y,Surowiec,IloscMiejsc
1,7265,2329,Diamenty,3
2,78,4902,Miedz,4
3,7433,6767,Zelazo,5
4,587,3602,Diamenty,6
5,4786,4197,Diamenty,3
6,4006,7007,Zloto,3
7,6874,60,Zelazo,2
8,4402,6013,Zelazo,4
9,1564,5153,Miedz,3
10,893,308,Wegiel,3
11,1491,4220,Miedz,5
12,6673,7799,Srebro,5
13,2587,185,Zloto,6
14,2727,6175,Miedz,2
15,2107,7052,Zloto,6
16,3346,6262,Zloto,2
17,3936,6601,Zelazo,3
18,6116,6542,Wegiel,4
19,7036,3195,Wegiel,5
20,5537,3476,Zelazo,3
21,2502,2775,Zelazo,3
22,7251,7263,Zloto,2
23,4312,1788,Miedz,4
24,2349,1832,Zelazo,3
25,4906,7517,Miedz,5
26,4760,3035,Wegiel,4
27,4807,6688,Miedz,5
28,198,5817,Zelazo,4
29,3684,3106,Zelazo,5
30,2568,4829,Zelazo,3
31,7926,3100,Wegiel,4
32,6603,3853,Wegiel,3
33,2627,3518,Wegiel,5
34,4511,2553,Srebro,3
35,447,3798,Zelazo,6
36,3877,6516,Wegiel,4
37,4097,5043,Diamenty,5
38,7337,6733,Wegiel,5
39,6793,3322,Wegiel,2
40,1513,707,Srebro,3
41,2931,3241,Zelazo,3
42,7651,3558,Miedz,2
43,7074,2260,Srebro,3
44,4401,1915,Wegiel,6
45,5162,965,Zloto,5
46,937,7115,Diamenty,4
47,155,3361,Srebro,4
48,4381,6437,Zloto,4
49,670,6931,Zelazo,6
50,2945,3723,Zloto,2
51,4555,940,Diamenty,2
52,3215,1162,Zloto,4
53,5412,6423,Srebro,4
54,3251,2209,Zloto,5
55,6925,3284,Srebro,2
56,1708,1210,Miedz,5
57,298,288,Srebro,6
58,1789,5235,Miedz,5
59,66,5005,Zelazo,3
60,4899,7939,Wegiel,6
61,330,4779,Zelazo,6
62,3155,1253,Zloto,4
63,5245,3048,Zelazo,5
64,2941,7917,Zloto,4
65,3786,3896,Srebro,3
66,3467,2819,Miedz,5
67,2602,4201,Zloto,4
68,5193,627,Miedz,2
69,7603,7655,Wegiel,6
70,6242,1634,Miedz,4
71,640,351,Miedz,6
72,524,4059,Diamenty,6
73,2063,385,Wegiel,4
74,4243,1761,Wegiel,4
75,3951,289,Zelazo,6
76,7088,4117,Miedz,3
77,7616,1765,Srebro,4
78,1776,7692,Miedz,6
79,2138,3630,Diamenty,3
80,2063,1510,Zloto,4
81,2855,7756,Wegiel,2
82,2042,5463,Zelazo,5
83,1086,1285,Diamenty,2
84,5220,957,Zelazo,6
85,1373,6853,Srebro,2
86,7165,1689,Wegiel,2
87,7806,6395,Zelazo,4
88,6438,5646,Miedz,4
89,3935,6791,Srebro,2
90,1499,7160,Zloto,4
91,2131,3098,Wegiel,4
92,6711,7567,Diamenty,5
93,2672,5800,Zelazo,6
94,6553,6182,Zloto,5
95,7363,3920,Zelazo,3
96,7275,7903,Diamenty,2
97,4334,7923,Zloto,4
98,2608,65,Zelazo,3
99,5690,1842,Zelazo,2
100,87,3889,Zloto,5
101,2354,6044,Srebro,2
102,1556,1276,Miedz,4
103,354,3728,Srebro,4
104,6198,6896,Zloto,6
105,1697,3012,Zloto,5
106,5175,5774,Diamenty,2
107,7635,7135,Zloto,6
108,5345,3288,Miedz,6
109,2750,4075,Diamenty,2
110,5446,5930,Miedz,3
111,76,4744,Zelazo,3
112,233,2806,Wegiel,6
113,7740,5269,Diamenty,5
114,6581,5649,Wegiel,4
115,2839,3694,Wegiel,4
116,3021,775,Diamenty,3
117,2754,3659,Diamenty,2
118,4542,7726,Miedz,2
119,7808,5564,Srebro,5
120,3391,5940,Miedz,5
121,1057,5806,Diamenty,4
122,4426,539,Wegiel,2
123,3270,2106,Diamenty,3
124,6059,5503,Wegiel,3
125,3927,4757,Srebro,3
126,439,7737,Zelazo,2
127,5775,4821,Miedz,5
128,4418,229,Miedz,3
129,5375,4968,Zelazo,6
130,6125,212,Wegiel,3
131,7782,110,Zloto,6
132,6117,7838,Wegiel,4
133,1500,1619,Srebro,4
134,6057,2755,Wegiel,2
135,3859,7220,Miedz,6
136,6331,1549,Zelazo,4
137,2819,6389,Diamenty,3
138,7362,3630,Wegiel,2
139,1815,6817,Diamenty,4
140,6788,2022,Diamenty,4
141,2281,7043,Zelazo,5
142,1081,2663,Wegiel,5
143,6350,3937,Miedz,2
144,3436,3094,Zelazo,3
145,3796,3497,Diamenty,3
146,6197,7217,Zloto,5
147,3371,3892,Diamenty,3
148,5763,7121,Wegiel,5
149,2948,645,Miedz,2
150,7274,370,Srebro,2
