ID,ID_kopalni,Mineraly,X,Y
1,0,Zloto;Diamenty;Wegiel,298,3732
2,0,Miedz;Zloto;Diamenty,1672,6348
3,0,Miedz,3861,7300
4,0,Wegiel;Miedz;Zloto,4840,2263
5,0,Zelazo;Wegiel,6827,1066
6,0,Diamenty;Wegiel;Zloto,1360,2927
7,0,Zloto;Diamenty,2272,6508
8,0,Miedz;Wegiel,5535,1446
9,0,Wegiel;Diamenty;Zelazo,5358,5872
10,0,Wegiel;Miedz,1936,4990
11,0,Miedz,7016,1447
12,0,Wegiel;Miedz;Diamenty,7426,2476
13,0,Wegiel,4640,7786
14,0,Zelazo;Diamenty,5735,6712
15,0,Zelazo;Miedz,5754,3708
16,0,Miedz,6847,6576
17,0,Zelazo;Zloto,4789,4756
18,0,Srebro;Zelazo;Wegiel,6718,7857
19,0,Zloto;Wegiel,6447,5311
20,0,Zloto;Srebro,2015,5000
21,0,Zloto;Miedz,6311,7221
22,0,Diamenty;Zloto;Zelazo,1353,1643
23,0,Zelazo;Srebro,3644,6975
24,0,Zloto,6085,6798
25,0,Zelazo;Srebro,2499,3305
26,0,Miedz,7067,1605
27,0,Wegiel,7931,2057
28,0,Miedz;Zelazo;Srebro,464,2444
29,0,Miedz;Diamenty;Zloto,2204,5022
30,0,Srebro,2364,3119
31,0,Zelazo,6394,6601
32,0,Miedz,6298,3184
33,0,Srebro;Diamenty,5022,1695
34,0,Srebro,1876,373
35,0,Wegiel;Diamenty;Miedz,6740,2945
36,0,Miedz,6072,6565
37,0,Diamenty,2181,3714
38,0,Miedz;Wegiel,7622,1491
39,0,Zloto,2816,4313
40,0,Zloto,3469,7334
41,0,Zloto;Diamenty,3766,7723
42,0,Srebro;Wegiel,6397,5885
43,0,Srebro,4193,3786
44,0,Diamenty;Zloto;Wegiel,3212,3888
45,0,Diamenty;Wegiel;Miedz,6921,1734
46,0,Wegiel;Srebro,2458,4454
47,0,Diamenty;Srebro;Miedz,1844,3899
48,0,Miedz;Wegiel,51,2883
49,0,Zloto;Zelazo,6400,4962
50,0,Diamenty;Srebro,5777,6863
51,0,Zloto,110,7503
52,0,Srebro;Diamenty,3367,5911
53,0,Zelazo;Diamenty,4071,1315
54,0,Zelazo;Diamenty;Srebro,619,5865
55,0,Zloto,5439,1322
56,0,Zloto;Zelazo;Miedz,1827,4561
57,0,Miedz,5916,6112
58,0,Zelazo,7476,1914
59,0,Diamenty;Wegiel;Srebro,1336,1419
60,0,Zelazo;Zloto,4233,7349
61,0,Srebro;Wegiel;Zelazo,76,2676
62,0,Miedz;Zloto;Srebro,6154,7246
63,0,Diamenty;Zloto;Zelazo,7470,5942
64,0,Miedz;Srebro;Zloto,2187,6667
65,0,Wegiel;Zloto,5172,5691
66,0,Diamenty;Zelazo;Wegiel,6077,3976
67,0,Diamenty;Miedz;Zloto,5329,702
68,0,Miedz;Wegiel;Srebro,1268,3986
