ID,ID_kopalni,Mineraly,X,Y
1,0,Zelazo;Diamenty;Miedz,5982,1766
2,0,Wegiel;Srebro;Zloto,680,2508
3,0,Srebro;Zelazo;Wegiel,6500,7373
4,0,Zelazo;Diamenty,6901,3862
5,0,Zelazo;Diamenty,6202,3273
6,0,Diamenty,4753,472
7,0,Diamenty;Miedz;Wegiel,3701,855
8,0,Srebro,1854,6230
9,0,Srebro;Diamenty,487,6062
10,0,Diamenty;Zloto,4240,5743
11,0,Srebro;Zelazo;Wegiel,4970,144
12,0,Diamenty,1240,1804
13,0,Miedz,3727,330
14,0,Diamenty;Wegiel;Zloto,6333,7560
15,0,Diamenty;Zloto,6473,6797
16,0,Miedz;Wegiel,5623,128
17,0,Miedz,281,3085
18,0,Miedz;Wegiel,3730,2838
19,0,Wegiel;Srebro;Zelazo,452,6329
20,0,Diamenty;Zelazo,970,5170
21,0,Wegiel;Miedz,4163,5239
22,0,Srebro,5239,2174
23,0,Zloto;Diamenty;Wegiel,5697,2240
24,0,Zloto;Srebro;Zelazo,4587,5296
25,0,Diamenty;Zloto;Miedz,7723,3203
26,0,Zelazo;Miedz;Srebro,347,3537
27,0,Srebro;Wegiel;Zelazo,1920,2882
28,0,Zloto;Zelazo;Wegiel,4544,5697
29,0,Diamenty;Wegiel;Zelazo,6812,5167
30,0,Miedz,4092,3932
31,0,Zloto,7930,490
32,0,Wegiel,5857,3789
33,0,Zloto,3769,5676
34,0,Zelazo;Miedz,888,3493
35,0,Miedz;Wegiel,191,3158
36,0,Wegiel,6414,6194
37,0,Srebro,5386,4376
38,0,Zloto;Miedz;Wegiel,762,4238
39,0,Srebro,7667,6299
40,0,Zloto,1970,6564
41,0,Wegiel;Diamenty;Zelazo,6098,7553
42,0,Miedz;Zloto,7434,2786
43,0,Wegiel;Diamenty,4280,6499
44,0,Zelazo,4456,7560
45,0,Wegiel;Miedz,7586,2774
46,0,Diamenty,7466,4065
47,0,Diamenty;Srebro,557,143
48,0,Srebro;Zloto,3488,3167
49,0,Wegiel,1837,1250
50,0,Diamenty;Wegiel;Zelazo,106,6092
51,0,Miedz;Zelazo;Zloto,6809,4866
52,0,Zelazo;Zloto,4865,6299
53,0,Wegiel;Diamenty;Srebro,7002,1850
54,0,Zloto;Srebro;Zelazo,2209,195
55,0,Zloto,6765,1288
56,0,Diamenty,2299,196
57,0,Miedz,5385,3795
58,0,Srebro,5499,4085
59,0,Zloto;Zelazo,138,4475
60,0,Srebro;Wegiel,4426,5585
61,0,Zloto,3141,370
62,0,Diamenty;Wegiel,5855,7116
63,0,Zelazo,5635,6103
64,0,Zloto,3380,2020
65,0,Diamenty;Zelazo;Wegiel,4121,695
66,0,Zloto;Srebro;Diamenty,7526,7409
67,0,Zelazo,5438,1821
68,0,Srebro;Zelazo;Diamenty,2882,228
69,0,Miedz;Wegiel,6879,344
70,0,Srebro;Zelazo,3624,4627
71,0,Diamenty;Srebro,7521,4685
72,0,Miedz;Wegiel;Zelazo,2005,3998
73,0,Wegiel;Zloto;Miedz,5688,226
74,0,Zloto,3367,5755
75,0,Zloto,4384,4453
76,0,Srebro,2263,7596
77,0,Miedz;Diamenty;Srebro,7022,2448
78,0,Zloto;Zelazo;Miedz,7836,2494
79,0,Zelazo;Srebro,5985,542
80,0,Zelazo;Diamenty;Zloto,1065,6028
81,0,Zelazo;Wegiel,1846,6201
82,0,Srebro;Wegiel;Zloto,3223,6408
83,0,Zelazo;Wegiel,4435,3058
84,0,Wegiel;Zloto;Zelazo,1334,3014
85,0,Wegiel,2086,5299
86,0,Zloto,6581,6451
87,0,Zloto;Srebro;Wegiel,7949,1546
88,0,Diamenty;Srebro;Wegiel,5668,2823
89,0,Wegiel;Zloto,1874,4008
90,0,Zelazo;Zloto;Diamenty,2319,7736
91,0,Zelazo;Srebro;Diamenty,4294,6960
92,0,Diamenty,684,2500
93,0,Srebro,6810,4587
94,0,Srebro,3442,3565
95,0,Diamenty;Wegiel,3704,2709
96,0,Miedz;Wegiel;Srebro,7868,3010
97,0,Zloto,4847,4201
98,0,Miedz;Diamenty,6142,3067
99,0,Wegiel,7438,7878
100,0,Diamenty;Miedz,3435,6438
101,0,Zloto,3052,2115
102,0,Wegiel;Diamenty;Zloto,313,2723
103,0,Srebro;Zloto;Diamenty,3451,6873
104,0,Srebro;Wegiel;Diamenty,4981,2462
105,0,Miedz;Diamenty;Zelazo,5727,6788
106,0,Zloto;Srebro,5919,5623
107,0,Diamenty;Srebro,2474,2181
108,0,Diamenty;Zloto,3716,7670
109,0,Miedz;Zelazo;Wegiel,2698,5582
110,0,Zloto,1184,7567
111,0,Miedz;Diamenty,6630,841
