ID,ID_kopalni,Mineraly,X,Y
1,0,Zelazo;Miedz,1206,2458
2,0,Miedz;Diamenty,2622,5995
3,0,Miedz,6018,2119
4,0,Zloto;Miedz;Diamenty,5032,7073
5,0,Zelazo;Diamenty,3886,2975
6,0,Zelazo;Diamenty;Srebro,4561,1276
7,0,Srebro;Wegiel;Diamenty,1413,3087
8,0,Wegiel;Srebro,6832,1487
9,0,Miedz,2371,5673
10,0,Miedz,734,1733
11,0,Srebro;Diamenty;Zelazo,4574,4124
12,0,Zloto;Zelazo,1622,7067
13,0,Diamenty;Wegiel,7835,6095
14,0,Wegiel,7266,655
15,0,Zloto;Zelazo,2993,6373
16,0,Zloto;Diamenty;Zelazo,3401,2978
17,0,Wegiel,5683,6720
18,0,Zloto;Diamenty,6963,336
19,0,Zloto;Miedz;Wegiel,1725,5266
20,0,Wegiel;Zloto;Zelazo,7107,3141
21,0,Miedz;Srebro,283,6164
22,0,Miedz;Wegiel;Diamenty,5297,3145
23,0,Zelazo;Miedz;Srebro,5079,5380
24,0,Diamenty;Miedz,5702,6051
25,0,Miedz;Wegiel,7720,1303
26,0,Zelazo;Zloto,4486,5581
27,0,Zelazo,5054,2865
28,0,Miedz,298,1396
29,0,Zelazo;Miedz;Wegiel,3439,4870
30,0,Zelazo;Miedz,3917,4461
31,0,Diamenty,4027,5006
32,0,Diamenty;Srebro,1481,6629
33,0,Diamenty,3790,6820
34,0,Wegiel;Diamenty,4057,7847
35,0,Diamenty;Wegiel;Srebro,3407,4918
36,0,Zelazo,7361,7088
37,0,Zelazo,6157,7172
38,0,Diamenty;Wegiel;Miedz,6641,1515
39,0,Wegiel,5360,342
40,0,Zloto,3549,1086
41,0,Zloto;Diamenty;Wegiel,1456,6654
42,0,Srebro;Zloto;Miedz,3378,4137
43,0,Zelazo;Wegiel,1503,7600
44,0,Miedz,723,1001
45,0,Miedz;Diamenty,5015,3273
46,0,Miedz;Zloto,876,2447
47,0,Diamenty;Miedz;Srebro,1162,4052
48,0,Srebro;Diamenty,1276,5914
49,0,Diamenty;Miedz,1839,3826
50,0,Srebro;Wegiel;Zelazo,5859,1845
51,0,Srebro;Zloto,2116,671
52,0,Zloto;Zelazo;Miedz,3640,4266
53,0,Wegiel,1262,2476
54,0,Miedz;Diamenty;Zelazo,2479,1424
55,0,Zelazo;Diamenty,4767,1612
56,0,Wegiel,7290,6508
57,0,Miedz,925,4948
58,0,Diamenty;Zelazo,7222,2737
59,0,Miedz,897,7715
60,0,Srebro;Wegiel,3503,5555
61,0,Srebro;Wegiel,4985,4346
62,0,Diamenty,739,3482
63,0,Diamenty,4793,5266
64,0,Diamenty;Zelazo;Wegiel,7710,3198
65,0,Srebro;Diamenty,2950,2848
66,0,Wegiel,2021,5620
67,0,Srebro;Diamenty,110,1180
68,0,Zelazo;Miedz;Diamenty,5530,2787
69,0,Zloto;Diamenty,575,3843
70,0,Zelazo;Wegiel;Zloto,1161,3841
71,0,Zelazo;Miedz;Zloto,5046,3151
72,0,Srebro,7843,3565
73,0,Diamenty;Zelazo;Srebro,6766,2919
74,0,Miedz;Zelazo;Zloto,4858,6203
75,0,Zloto,2925,3915
76,0,Wegiel;Diamenty;Zloto,3836,3127
77,0,Wegiel;Zloto,1178,3834
78,0,Zelazo;Zloto,1087,5074
79,0,Miedz,6917,2691
80,0,Wegiel,949,2599
81,0,Diamenty;Wegiel,5047,6202
82,0,Diamenty;Srebro,7676,4087
83,0,Miedz;Zloto;Diamenty,1787,4515
84,0,Srebro;Miedz;Wegiel,2305,4124
85,0,Miedz;Zloto;Diamenty,238,5965
86,0,Wegiel;Diamenty,6879,7336
87,0,Diamenty;Miedz,6129,2481
88,0,Wegiel;Diamenty,2209,6632
89,0,Miedz;Wegiel;Zelazo,4577,7846
90,0,Srebro;Diamenty;Zelazo,100,6425
91,0,Srebro;Zelazo,5090,5013
92,0,Miedz,1408,1002
93,0,Zloto;Wegiel;Miedz,7342,3503
94,0,Srebro,7564,941
95,0,Miedz;Diamenty;Srebro,5015,1951
96,0,Diamenty,2692,4803
97,0,Diamenty;Miedz,2278,3156
98,0,Wegiel;Zelazo,6242,3167
99,0,Wegiel,1328,4088
100,0,Wegiel;Srebro;Diamenty,6538,213
101,0,Miedz;Zelazo;Wegiel,1416,4817
102,0,Zloto;Diamenty,5088,3438
103,0,Wegiel;Miedz,7824,3647
104,0,Zloto;Srebro;Zelazo,237,6220
105,0,Wegiel,5886,6602
106,0,Zelazo;Miedz,1055,418
107,0,Diamenty;Wegiel;Miedz,3220,960
108,0,Miedz;Srebro,4499,1994
109,0,Zelazo,1515,2724
110,0,Wegiel;Srebro;Zloto,6969,197
111,0,Zelazo,2614,1004
112,0,Zloto;Diamenty;Zelazo,777,7501
113,0,Miedz;Srebro;Zelazo,7389,3838
114,0,Wegiel;Srebro;Zelazo,2240,946
115,0,Diamenty;Zloto;Zelazo,4996,7426
116,0,Miedz;Zelazo,2948,564
117,0,Wegiel,5811,2632
118,0,Srebro,6732,7045
119,0,Diamenty;Zloto;Wegiel,4991,4406
120,0,Diamenty;Wegiel;Zloto,4935,2617
121,0,Zelazo;Srebro,4080,1514
122,0,Diamenty,2331,1312
123,0,Wegiel;Miedz;Zloto,6896,6278
124,0,Zloto;Srebro;Wegiel,4444,488
125,0,Diamenty;Zelazo;Srebro,3852,6721
126,0,Miedz,1535,800
127,0,Diamenty,1382,5097
128,0,Srebro;Zelazo,5836,4896
129,0,Zloto,4971,2816
130,0,Srebro;Wegiel;Miedz,6236,3257
131,0,Zelazo;Srebro;Miedz,4464,2943
132,0,Wegiel;Zelazo,7064,2067
133,0,Miedz;Zloto,262,7741
134,0,Zloto;Zelazo,3540,2819
135,0,Srebro;Zelazo,3485,1174
136,0,Zelazo;Srebro,4734,449
137,0,Zloto;Srebro;Miedz,4186,6033
138,0,Zelazo;Diamenty,7563,665
139,0,Diamenty;Zloto,7752,4768
140,0,Wegiel;Miedz,2498,1714
141,0,Miedz;Zelazo;Wegiel,4305,7052
142,0,Zloto;Srebro,871,2192
143,0,Srebro,6122,3668
144,0,Wegiel;Srebro,5300,875
145,0,Srebro,4927,4589
146,0,Srebro;Miedz,1580,1389
147,0,Diamenty;Miedz;Srebro,6096,6214
148,0,Diamenty;Miedz,4975,6632
149,0,Zloto;Diamenty,3781,558
150,0,Diamenty;Wegiel;Miedz,7551,5784
151,0,Zelazo;Zloto;Wegiel,1756,7543
152,0,Diamenty;Zloto,4512,6359
153,0,Diamenty;Zloto,1028,3779
154,0,Diamenty;Srebro,3998,1622
155,0,Diamenty,5138,5152
156,0,Srebro,2700,4732
157,0,Zelazo;Srebro;Miedz,5166,234
158,0,Srebro;Miedz;Zelazo,354,304
159,0,Zloto,592,4425
160,0,Wegiel,3424,4583
161,0,Diamenty;Miedz,7905,1247
162,0,Wegiel,432,4433
163,0,Zelazo,7018,5475
164,0,Srebro;Zelazo,4737,1587
165,0,Wegiel,7688,3055
166,0,Zloto;Zelazo,1871,943
167,0,Miedz;Wegiel;Zloto,3047,1992
168,0,Diamenty;Miedz,2733,7523
169,0,Zelazo;Miedz,2937,5472
170,0,Zelazo,2265,3135
171,0,Zelazo;Srebro,7777,6117
172,0,Zloto;Miedz;Wegiel,5682,1903
173,0,Srebro;Zelazo;Wegiel,4706,1900
174,0,Zloto;Zelazo;Miedz,7366,6747
175,0,Zloto;Srebro;Wegiel,3185,416
176,0,Wegiel;Zelazo;Zloto,1934,970
177,0,Miedz;Wegiel,818,7401
178,0,Wegiel,5928,2117
179,0,Zelazo,939,1017
180,0,Diamenty;Zelazo,1901,5736
181,0,Miedz;Diamenty,746,1864
182,0,Diamenty,7911,587
183,0,Zloto,4527,2129
184,0,Diamenty,7060,6762
185,0,Miedz,7124,7308
186,0,Srebro;Wegiel;Zelazo,4901,1116
187,0,Zelazo;Srebro,1613,5418
188,0,Zelazo,2002,6158
189,0,Miedz,2209,5945
190,0,Zelazo;Zloto;Diamenty,4952,1537
191,0,Zelazo,5833,5517
192,0,Diamenty;Srebro,3457,1436
193,0,Srebro;Miedz;Diamenty,778,1707
194,0,Zelazo,5818,5528
195,0,Zloto;Miedz,5601,5550
196,0,Srebro,6781,143
197,0,Zloto,2372,659
198,0,Zloto,4301,5499
199,0,Miedz;Zloto;Wegiel,2032,6157
200,0,Miedz;Wegiel;Srebro,4656,7470
201,0,Srebro,3333,7440
202,0,Miedz,2175,3644
203,0,Zloto;Wegiel,7849,5357
204,0,Zelazo,5259,6903
205,0,Miedz;Diamenty,55,4471
206,0,Miedz;Zelazo;Zloto,226,3296
207,0,Zloto,7336,1898
208,0,Diamenty;Zelazo;Miedz,3510,4554
209,0,Zloto;Zelazo,3174,6030
210,0,Zelazo;Diamenty,1369,1429
211,0,Wegiel,5362,7950
212,0,Wegiel,7814,6477
