ID,ID_kopalni,Mineraly,X,Y
1,0,Diamenty;Zelazo,3059,3269
2,0,Zloto,4201,1878
3,0,Srebro;Diamenty,7123,4172
4,0,Zloto;Zelazo,7111,2203
5,0,Miedz;Diamenty;Wegiel,4230,1216
6,0,Zloto;Srebro;Wegiel,2895,6639
7,0,Miedz;Wegiel,1702,1238
8,0,Wegiel;Zloto;Zelazo,3496,1897
9,0,Zelazo,7615,5042
10,0,Miedz;Zloto,5817,555
11,0,Wegiel;Zelazo;Diamenty,5110,6890
12,0,Diamenty,595,5258
13,0,Diamenty,3792,2474
14,0,Miedz;Srebro,7684,2241
15,0,Zloto;Srebro;Miedz,7003,6230
16,0,Miedz;Diamenty,2801,6132
17,0,Diamenty;Zelazo;Zloto,833,107
18,0,Diamenty;Miedz,632,4908
19,0,Zloto;Miedz,492,5708
20,0,Zelazo;Diamenty,3450,5913
21,0,Wegiel,3368,4928
22,0,Zloto;Zelazo,4847,6109
23,0,Wegiel;Zloto;Diamenty,7499,5496
24,0,Wegiel;Zloto,7422,7681
25,0,Srebro;Zloto;Miedz,6816,2558
26,0,Zelazo,3213,315
27,0,Zelazo;Diamenty;Zloto,7139,4604
28,0,Miedz,2223,2141
29,0,Miedz;Diamenty,760,4332
30,0,Diamenty;Zelazo,3705,1052
31,0,Wegiel;Diamenty;Zelazo,479,6327
32,0,Zloto;Srebro,4053,2733
33,0,Zloto;Zelazo;Miedz,5791,7851
34,0,Zloto;Wegiel,4275,1386
35,0,Zelazo;Zloto,3245,1300
36,0,Miedz,5348,2346
37,0,Zelazo;Wegiel;Srebro,5093,6711
38,0,Zloto,6649,7415
39,0,Zloto;Srebro,1247,1900
40,0,Srebro,3164,3586
41,0,Miedz,3390,3004
42,0,Wegiel;Srebro;Zelazo,4533,4187
43,0,Wegiel;Zelazo,941,6777
44,0,Miedz,5973,7026
45,0,Diamenty;Zloto,5370,2273
46,0,Zloto,6958,7382
47,0,Zloto,7064,6432
48,0,Diamenty;Zelazo,2340,2123
49,0,Wegiel,2388,1469
50,0,Srebro;Diamenty;Wegiel,3375,4209
51,0,Zelazo,1710,4813
52,0,Zelazo,3744,7151
53,0,Zloto;Srebro;Wegiel,222,5909
54,0,Zloto;Wegiel,1453,4633
55,0,Srebro;Wegiel,2194,170
56,0,Zelazo;Srebro,1107,1024
57,0,Srebro;Wegiel;Diamenty,3491,1292
58,0,Wegiel;Miedz;Zelazo,7480,141
59,0,Diamenty,805,4310
60,0,Zelazo;Miedz;Diamenty,5052,2692
61,0,Zloto;Zelazo,1382,3420
62,0,Diamenty,1938,257
63,0,Srebro,302,2809
64,0,Zloto,6627,7397
65,0,Diamenty,1326,6000
66,0,Diamenty;Zelazo,5700,5442
67,0,Srebro;Wegiel,5440,914
68,0,Srebro,2733,2600
69,0,Srebro;Zelazo;Miedz,7817,4109
70,0,Zelazo,4432,1209
71,0,Miedz;Zloto;Diamenty,53,2894
72,0,Zelazo,7478,4616
73,0,Srebro,2061,2074
74,0,Miedz;Srebro,2053,3116
75,0,Diamenty;Miedz;Zloto,5252,6762
76,0,Zelazo;Zloto,7057,4067
77,0,Zloto,3014,4756
78,0,Miedz;Zelazo,4483,5821
79,0,Zloto,3756,3523
80,0,Miedz;Zelazo;Zloto,6111,5345
81,0,Zelazo;Diamenty;Miedz,2735,2024
82,0,Srebro;Diamenty;Zloto,864,6144
83,0,Zloto;Miedz;Srebro,6990,7460
84,0,Diamenty;Srebro;Zloto,3048,7885
85,0,Diamenty;Wegiel,1956,1072
86,0,Zelazo;Zloto;Wegiel,5247,3206
87,0,Zelazo;Diamenty,5436,6165
88,0,Zloto;Wegiel;Srebro,3644,6591
89,0,Wegiel;Miedz,7687,3598
90,0,Diamenty;Miedz,6762,5911
91,0,Miedz;Diamenty;Zloto,5817,7083
92,0,Miedz;Srebro;Zelazo,2349,7674
93,0,Zelazo;Miedz,1465,91
94,0,Miedz;Srebro,2776,5958
95,0,Zloto;Wegiel,5732,2467
96,0,Diamenty;Zelazo;Zloto,592,320
97,0,Srebro,5074,6497
98,0,Miedz;Zloto;Diamenty,440,1173
99,0,Miedz;Diamenty;Zloto,3753,4855
100,0,Miedz;Wegiel,5079,6467
101,0,Zelazo;Wegiel,7210,6653
102,0,Zloto;Zelazo,5536,1346
103,0,Diamenty;Srebro,3105,803
104,0,Srebro,2350,7620
105,0,Wegiel;Srebro;Miedz,3245,3210
106,0,Srebro;Diamenty,1921,1936
107,0,Miedz;Wegiel,4495,5457
108,0,Zelazo,6903,4738
109,0,Wegiel;Diamenty,559,7409
110,0,Miedz;Zelazo;Srebro,153,5336
111,0,Zelazo,1334,1081
112,0,Zelazo;Zloto;Miedz,4058,5111
113,0,Diamenty;Srebro,7663,120
114,0,Srebro;Zelazo;Miedz,1369,2225
115,0,Zelazo;Srebro;Diamenty,6698,4472
116,0,Wegiel,2872,7011
117,0,Zelazo;Zloto;Wegiel,7878,6401
118,0,Miedz;Zloto;Srebro,4355,4545
119,0,Diamenty,7457,2821
120,0,Zloto;Wegiel;Diamenty,3153,333
121,0,Zelazo,6027,4810
122,0,Wegiel,2218,1778
123,0,Wegiel,5172,1723
124,0,Zelazo;Zloto;Miedz,3411,4194
125,0,Zloto;Zelazo,2736,3262
126,0,Wegiel;Srebro;Zelazo,7384,1052
127,0,Zloto;Srebro,3405,7565
128,0,Miedz,5547,1093
129,0,Miedz;Srebro;Zloto,5304,5789
