ID,ID_kopalni,Mineraly,X,Y
1,0,Miedz,2211,4065
2,0,Srebro,1489,596
3,0,Miedz;Zloto,5348,7393
4,0,Wegiel;Zloto;Zelazo,534,7430
5,0,Miedz,6568,2026
6,0,Zelazo;Wegiel;Srebro,2348,6410
7,0,Zelazo;Diamenty;Miedz,7346,4158
8,0,Zelazo;Diamenty,3109,4562
9,0,Zloto;Diamenty;Zelazo,2101,988
10,0,Miedz;Srebro;Wegiel,967,3577
11,0,Miedz;Zelazo,5676,7062
12,0,Wegiel,2947,2869
13,0,Wegiel;Zloto,4941,5182
14,0,Wegiel,1016,1519
15,0,Miedz;Zloto,2338,772
16,0,Diamenty,1488,1446
17,0,Wegiel;Diamenty,6474,7950
18,0,Srebro,3998,6547
19,0,Srebro,4790,6348
20,0,Zloto,7301,2065
21,0,Diamenty;Wegiel,5233,4253
22,0,Zloto;Wegiel,6906,5730
23,0,Srebro;Zelazo;Wegiel,5750,4608
24,0,Zelazo;Wegiel;Miedz,6571,2470
25,0,Zelazo;Srebro,4285,84
26,0,Zelazo;Srebro,3268,2890
27,0,Diamenty,2879,7737
28,0,Zelazo,549,145
29,0,Srebro;Wegiel;Zelazo,1019,6783
30,0,Diamenty,321,4180
31,0,Srebro,6046,6343
32,0,Miedz;Diamenty;Wegiel,967,4933
33,0,Diamenty;Srebro;Wegiel,816,2982
34,0,Wegiel;Zelazo,2867,7589
35,0,Zelazo;Wegiel,4975,7361
36,0,Zloto;Miedz,7195,2230
37,0,Diamenty;Wegiel;Srebro,668,5711
38,0,Zelazo,4640,2647
39,0,Zelazo;Srebro;Wegiel,7677,6120
40,0,Diamenty,1051,2817
41,0,Wegiel;Srebro;Zloto,4470,2968
42,0,Miedz;Diamenty,4395,7021
43,0,Diamenty;Zloto,3892,1016
44,0,Wegiel;Srebro;Zelazo,6578,1868
45,0,Zloto;Srebro;Diamenty,4082,7461
46,0,Zloto;Zelazo;Srebro,862,7383
47,0,Zloto,6082,7505
48,0,Wegiel;Srebro,3267,2895
49,0,Zelazo;Miedz;Wegiel,4216,4645
50,0,Zelazo;Diamenty,3922,4678
51,0,Zelazo,2889,3953
52,0,Wegiel;Diamenty,7402,4656
53,0,Wegiel,4046,697
54,0,Zloto;Srebro,6057,825
55,0,Zelazo,1489,69
56,0,Wegiel,2770,7040
57,0,Miedz;Srebro,643,3449
58,0,Zelazo;Miedz;Srebro,5523,7744
59,0,Srebro;Zloto,1387,7320
60,0,Zelazo,2673,684
61,0,Zloto,5113,3888
62,0,Srebro;Diamenty;Zloto,2787,7644
63,0,Zelazo;Diamenty,2030,1839
64,0,Zelazo;Wegiel,7642,5092
65,0,Zelazo;Diamenty,2982,512
66,0,Diamenty;Srebro;Miedz,6156,4182
67,0,Wegiel;Miedz;Diamenty,3157,5456
68,0,Zloto;Diamenty;Srebro,7366,759
69,0,Diamenty;Miedz;Srebro,5450,2862
70,0,Srebro,7655,5005
71,0,Miedz;Wegiel,1448,2787
72,0,Srebro,1268,4495
73,0,Srebro;Diamenty;Wegiel,5573,6629
74,0,Miedz,5792,7678
75,0,Diamenty;Zelazo,5971,6284
76,0,Wegiel;Zelazo,7301,6794
77,0,Srebro;Zelazo,4172,5481
78,0,Diamenty,70,3404
79,0,Zloto,3041,1130
80,0,Srebro;Miedz,806,438
81,0,Zloto;Wegiel;Miedz,2112,4771
82,0,Zloto;Zelazo;Wegiel,2470,2765
83,0,Miedz,5491,3447
84,0,Zelazo;Diamenty;Srebro,7290,4431
85,0,Miedz,2234,335
86,0,Wegiel;Zloto,536,3487
87,0,Miedz,4070,1912
88,0,Wegiel,5192,1824
89,0,Zelazo;Wegiel;Srebro,2721,4285
90,0,Zelazo;Miedz;Srebro,5374,4272
91,0,Miedz;Srebro;Zloto,6391,7457
92,0,Srebro;Diamenty,1543,4903
93,0,Miedz,501,2385
94,0,Diamenty,3297,4509
95,0,Srebro;Wegiel,5488,593
96,0,Miedz;Zelazo,4138,3935
97,0,Diamenty;Srebro;Zelazo,1113,2651
98,0,Zloto;Srebro,6669,6221
99,0,Srebro,5701,6322
100,0,Wegiel;Zelazo;Zloto,3589,508
101,0,Zloto;Miedz;Wegiel,2226,827
102,0,Wegiel;Zelazo,2428,3018
103,0,Diamenty;Zloto;Srebro,6483,3386
104,0,Wegiel;Miedz,5959,7323
105,0,Wegiel;Srebro,1239,838
106,0,Zelazo,820,2038
107,0,Miedz;Diamenty,3915,1663
108,0,Zloto;Diamenty;Wegiel,1742,937
109,0,Miedz;Zelazo;Zloto,6192,2789
110,0,Srebro,629,7674
111,0,Zloto,3197,4379
112,0,Zloto,7754,985
113,0,Wegiel,3818,3182
114,0,Zelazo;Wegiel;Zloto,3777,2326
115,0,Diamenty;Zelazo,1249,4207
116,0,Zelazo,7876,5574
117,0,Zelazo,7338,5980
118,0,Miedz,6260,7261
119,0,Wegiel;Diamenty;Zelazo,6259,775
120,0,Srebro,2629,1397
121,0,Zelazo;Miedz;Wegiel,4545,1957
122,0,Srebro;Zloto;Wegiel,1515,307
123,0,Miedz,6244,3623
124,0,Miedz;Zloto,5130,2472
125,0,Zloto;Srebro,1142,854
126,0,Zloto;Miedz;Zelazo,6428,4443
127,0,Diamenty,1192,2960
128,0,Zloto,4271,7067
129,0,Wegiel;Miedz;Srebro,3132,6145
130,0,Zelazo;Miedz,7114,1445
131,0,Miedz,2079,2665
132,0,Diamenty;Srebro,2818,3110
133,0,Zelazo,7722,2208
134,0,Miedz,4480,7616
135,0,Zloto,4280,69
136,0,Zelazo;Srebro,109,3524
137,0,Miedz,2713,2857
138,0,Wegiel;Zloto,7347,2650
139,0,Diamenty;Srebro;Zelazo,6842,4763
140,0,Diamenty;Zelazo;Srebro,5205,6271
141,0,Srebro,1617,615
142,0,Diamenty;Wegiel;Miedz,1964,2265
143,0,Zelazo;Srebro;Wegiel,1440,1152
144,0,Zelazo;Zloto,2736,3059
145,0,Miedz;Zelazo;Srebro,539,6074
146,0,Zloto;Diamenty,5275,7646
147,0,Zloto;Diamenty;Zelazo,237,3533
148,0,Wegiel,6567,7242
149,0,Diamenty;Wegiel;Zloto,4523,3993
150,0,Zelazo;Miedz;Srebro,476,1820
151,0,Zelazo,2454,3881
152,0,Zelazo;Srebro,6035,7487
153,0,Diamenty;Wegiel,2484,3609
154,0,Diamenty;Zloto,555,6233
155,0,Zelazo,4528,1077
156,0,Srebro,6538,792
157,0,Miedz;Zelazo,5831,5896
158,0,Wegiel;Srebro;Zloto,2413,5900
159,0,Zelazo;Diamenty;Wegiel,953,7875
160,0,Zloto,6208,6303
161,0,Zelazo;Miedz;Diamenty,1236,1455
162,0,Zloto;Zelazo;Srebro,2075,5113
163,0,Diamenty,4935,3012
164,0,Diamenty,1167,1645
165,0,Diamenty;Srebro;Zloto,5261,4860
