ID,ID_kopalni,Mineraly,X,Y
1,49,Zloto;Diamenty;Srebro,269,337
2,16,Zelazo;Zloto;Wegiel,750,186
3,26,Miedz;Srebro,571,593
4,23,Diamenty;Wegiel,234,691
5,24,Wegiel;Srebro,59,725
6,9,Diamenty;Zloto;Miedz,644,558
7,46,Wegiel;Zelazo;Diamenty,570,78
8,26,Srebro;Miedz;Diamenty,717,738
9,37,Diamenty;Wegiel,671,268
10,24,Srebro;Miedz;Diamenty,243,683
11,20,Zloto;Wegiel;Miedz,579,289
12,32,Diamenty,119,406
13,35,Miedz;Zelazo;Zloto,63,244
14,35,Zelazo,115,350
15,21,Zelazo;Srebro;Wegiel,343,203
16,36,Srebro;Zelazo,628,249
17,2,Srebro;Miedz,103,644
18,41,Miedz,331,471
19,29,Srebro,56,356
20,32,Diamenty;Miedz,108,410
21,43,Zloto;Diamenty,567,734
22,17,Miedz;Zelazo;Zloto,603,366
23,2,Zelazo;Srebro;Miedz,94,479
24,41,Miedz,464,398
25,46,Wegiel,413,142
26,45,Srebro;Diamenty,348,229
27,41,Miedz;Wegiel,233,371
28,41,Miedz;Zelazo,489,441
29,6,Miedz,214,738
30,6,Miedz,143,730
31,44,Srebro,135,387
32,33,Diamenty;Miedz,469,336
33,2,Srebro,196,377
34,22,Wegiel;Zloto,196,529
35,49,Zloto;Zelazo;Wegiel,235,441
36,17,Miedz,631,322
37,28,Zloto;Diamenty;Srebro,510,478
38,44,Wegiel;Srebro;Diamenty,216,266
39,36,Wegiel;Srebro,665,228
40,36,Srebro;Zelazo,477,256
41,48,Zelazo;Diamenty,458,390
42,15,Zelazo;Miedz,595,618
43,5,Zloto;Srebro;Zelazo,215,130
44,8,Zloto,530,678
45,23,Diamenty;Miedz,92,729
46,42,Diamenty;Zelazo,426,695
47,18,Wegiel;Zloto;Miedz,588,89
48,45,Zloto;Diamenty,371,337
49,49,Zloto,364,346
50,47,Wegiel;Zloto,348,579
51,28,Zloto,613,131
52,37,Diamenty,624,179
53,28,Zloto,587,354
54,36,Zelazo;Srebro,671,230
55,22,Wegiel;Zloto;Zelazo,178,612
56,39,Miedz,181,241
57,21,Srebro;Zloto,319,111
58,50,Diamenty;Wegiel;Zloto,221,287
