ID,ID_kopalni,Mineraly,X,Y
1,0,Zloto;Diamenty;Srebro,269,337
2,0,Zelazo;Zloto;Wegiel,750,186
3,0,Miedz;Srebro,571,593
4,0,Diamenty;Wegiel,234,691
5,0,Wegiel;Srebro,59,725
6,0,Diamenty;Zloto;Miedz,644,558
7,0,Wegiel;Zelazo;Diamenty,570,78
8,0,Srebro;Miedz;Diamenty,717,738
9,0,Diamenty;Wegiel,671,268
10,0,Srebro;Miedz;Diamenty,243,683
11,0,Zloto;Wegiel;Miedz,579,289
12,0,Diamenty,119,406
13,0,Miedz;Zelazo;Zloto,63,244
14,0,Zelazo,115,350
15,0,Zelazo;Srebro;Wegiel,343,203
16,0,Srebro;Zelazo,628,249
17,0,Srebro;Miedz,103,644
18,0,Miedz,331,471
19,0,Srebro,56,356
20,0,Diamenty;Miedz,108,410
21,0,Zloto;Diamenty,567,734
22,0,Miedz;Zelazo;Zloto,603,366
23,0,Zelazo;Srebro;Miedz,94,479
24,0,Miedz,464,398
25,0,Wegiel,413,142
26,0,Srebro;Diamenty,348,229
27,0,Miedz;Wegiel,233,371
28,0,Miedz;Zelazo,489,441
29,0,Miedz,214,738
30,0,Miedz,143,730
31,0,Srebro,135,387
32,0,Diamenty;Miedz,469,336
33,0,Srebro,196,377
34,0,Wegiel;Zloto,196,529
35,0,Zloto;Zelazo;Wegiel,235,441
36,0,Miedz,631,322
37,0,Zloto;Diamenty;Srebro,510,478
38,0,Wegiel;Srebro;Diamenty,216,266
39,0,Wegiel;Srebro,665,228
40,0,Srebro;Zelazo,477,256
41,0,Zelazo;Diamenty,458,390
42,0,Zelazo;Miedz,595,618
43,0,Zloto;Srebro;Zelazo,215,130
44,0,Zloto,530,678
45,0,Diamenty;Miedz,92,729
46,0,Diamenty;Zelazo,426,695
47,0,Wegiel;Zloto;Miedz,588,89
48,0,Zloto;Diamenty,371,337
49,0,Zloto,364,346
50,0,Wegiel;Zloto,348,579
51,0,Zloto,613,131
52,0,Diamenty,624,179
53,0,Zloto,587,354
54,0,Zelazo;Srebro,671,230
55,0,Wegiel;Zloto;Zelazo,178,612
56,0,Miedz,181,241
57,0,Srebro;Zloto,319,111
58,0,Diamenty;Wegiel;Zloto,221,287
59,0,Zloto;Diamenty,362,122
60,0,Miedz;Srebro;Wegiel,436,666
61,0,Zelazo,666,442
62,0,Zelazo,617,135
63,0,Srebro;Wegiel,389,522
64,0,Miedz;Srebro;Zelazo,147,405
65,0,Zloto;Zelazo,415,174
66,0,Diamenty;Zloto;Zelazo,242,692
67,0,Wegiel,260,450
68,0,Miedz;Diamenty;Wegiel,340,666
69,0,Miedz;Zelazo,542,634
70,0,Wegiel;Miedz;Zloto,388,492
71,0,Wegiel;Diamenty,336,634
72,0,Wegiel;Zloto;Diamenty,407,529
73,0,Wegiel;Diamenty;Zloto,346,725
74,0,Miedz;Srebro,362,567
75,0,Wegiel,272,220
76,0,Zloto,399,477
77,0,Zloto;Srebro,750,369
78,0,Srebro;Zelazo,349,282
79,0,Wegiel;Diamenty,225,609
80,0,Miedz,511,224
81,0,Miedz;Srebro;Zloto,223,144
82,0,Wegiel;Zelazo,593,212
83,0,Zloto;Wegiel;Miedz,484,166
84,0,Diamenty;Zloto,377,716
85,0,Diamenty;Wegiel,523,354
86,0,Wegiel;Miedz,413,359
87,0,Diamenty,91,487
88,0,Wegiel;Diamenty;Srebro,524,50
89,0,Miedz,115,262
90,0,Zloto,322,437
91,0,Zelazo;Zloto,57,505
92,0,Zloto,641,59
93,0,Zloto;Diamenty;Zelazo,492,117
94,0,Zloto,157,64
95,0,Miedz,573,312
96,0,Miedz;Zloto,406,703
97,0,Miedz;Zelazo,296,716
98,0,Zelazo;Diamenty,149,403
99,0,Zelazo,542,717
100,0,Srebro,94,252
101,0,Zloto;Zelazo;Srebro,723,339
102,0,Zelazo;Wegiel,327,685
103,0,Diamenty;Srebro,416,224
104,0,Zloto;Wegiel,156,396
