ID,X,Y,Surowiec,IloscMiejsc
1,12.5,45.2,Zloto,5
2,78.1,11.4,Zelazo,12
3,34.0,55.5,Srebro,8
4,90.2,23.1,Miedz,15
5,5.5,88.8,Wegiel,20
6,44.4,44.4,Mithril,3
7,19.2,76.5,Zloto,6
8,67.8,12.3,Zelazo,10
9,23.4,98.7,Srebro,4
10,81.2,34.5,Miedz,14
11,11.1,22.2,Wegiel,25
12,56.7,89.0,Mithril,2
13,33.3,77.7,Zloto,7
14,88.8,55.5,Zelazo,11
15,45.6,12.3,Srebro,9
16,99.9,88.8,Miedz,18
17,2.3,4.5,Wegiel,30
18,76.5,43.2,Mithril,1
19,15.0,60.0,Zloto,4
20,82.1,28.4,Zelazo,13
21,38.5,59.2,Srebro,7
22,94.3,19.8,Miedz,16
23,8.7,91.5,Wegiel,22
24,47.2,39.6,Mithril,4
25,22.4,71.3,Zloto,5
26,61.9,18.2,Zelazo,9
27,29.6,85.4,Srebro,6
28,86.5,41.7,Miedz,12
29,14.2,29.8,Wegiel,28
30,51.8,93.1,Mithril,2
31,36.7,68.4,Zloto,8
32,92.4,47.9,Zelazo,14
33,41.3,15.6,Srebro,5
34,75.8,81.2,Miedz,17
35,6.9,11.4,Wegiel,19
36,68.2,52.7,Mithril,3
37,17.5,63.8,Zloto,6
38,84.6,25.1,Zelazo,11
39,31.9,56.4,Srebro,8
40,96.1,14.3,Miedz,15
41,12.8,88.6,Wegiel,24
42,49.4,35.2,Mithril,1
43,25.7,74.9,Zloto,7
44,64.3,21.5,Zelazo,10
45,27.1,89.7,Srebro,4
46,89.2,38.6,Miedz,13
47,18.4,33.1,Wegiel,26
48,54.6,96.8,Mithril,2
49,39.2,65.3,Zloto,5
50,97.8,51.4,Zelazo,12
51,44.7,18.9,Srebro,9
52,71.5,78.6,Miedz,14
53,3.4,8.2,Wegiel,21
54,62.8,49.5,Mithril,3
55,19.6,58.7,Zloto,8
56,87.3,31.2,Zelazo,15
57,35.1,62.9,Srebro,6
58,91.8,22.4,Miedz,16
59,9.5,83.7,Wegiel,23
60,42.6,44.1,Mithril,4
61,28.3,79.5,Zloto,4
62,69.1,15.8,Zelazo,11
63,21.4,94.2,Srebro,7
64,83.9,46.3,Miedz,12
65,16.7,26.5,Wegiel,27
66,58.2,91.4,Mithril,1
67,32.5,71.8,Zloto,6
68,95.6,42.1,Zelazo,10
69,48.9,13.4,Srebro,5
70,73.2,86.5,Miedz,14
71,10.8,54.2,Wegiel,20
72,66.4,37.9,Mithril,2
73,24.1,67.3,Zloto,7
74,80.5,19.6,Zelazo,13
75,37.6,50.8,Srebro,8
76,98.2,27.4,Miedz,15
77,4.1,72.9,Wegiel,25
78,53.7,99.1,Mithril,3
79,30.4,61.2,Zloto,5
80,85.9,36.7,Zelazo,12
81,46.2,17.3,Srebro,9
82,77.4,82.5,Miedz,16
83,1.9,9.8,Wegiel,29
84,59.3,45.6,Mithril,1
85,20.8,55.1,Zloto,6
86,88.4,29.3,Zelazo,11
87,34.7,64.2,Srebro,4
88,93.5,21.8,Miedz,13
89,11.6,80.4,Wegiel,22
90,43.9,40.7,Mithril,4
91,26.2,76.1,Zloto,8
92,65.8,16.5,Zelazo,14
93,22.9,95.3,Srebro,5
94,82.7,48.1,Miedz,17
95,15.4,24.6,Wegiel,19
96,57.1,92.8,Mithril,2
97,33.8,69.4,Zloto,7
98,96.3,43.5,Zelazo,10
99,40.5,14.9,Srebro,6
100,74.6,84.3,Miedz,15
