ID,X,Y,Surowiec,IloscMiejsc
1,125,452,Zloto,5
2,781,114,Zelazo,12
3,340,555,Srebro,8
4,902,231,Miedz,15
5,55,888,Wegiel,20
6,444,444,Mithril,3
7,192,765,Zloto,6
8,678,123,Zelazo,10
9,234,987,Srebro,4
10,812,345,Miedz,14
11,111,222,Wegiel,25
12,567,890,Mithril,2
13,333,777,Zloto,7
14,888,555,Zelazo,11
15,456,123,Srebro,9
16,999,888,Miedz,18
17,23,45,Wegiel,30
18,765,432,Mithril,1
19,150,600,Zloto,4
20,821,284,Zelazo,13
21,385,592,Srebro,7
22,943,198,Miedz,16
23,87,915,Wegiel,22
24,472,396,Mithril,4
25,224,713,Zloto,5
26,619,182,Zelazo,9
27,296,854,Srebro,6
28,865,417,Miedz,12
29,142,298,Wegiel,28
30,518,931,Mithril,2
31,367,684,Zloto,8
32,924,479,Zelazo,14
33,413,156,Srebro,5
34,758,812,Miedz,17
35,69,114,Wegiel,19
36,682,527,Mithril,3
37,175,638,Zloto,6
38,846,251,Zelazo,11
39,319,564,Srebro,8
40,961,143,Miedz,15
41,128,886,Wegiel,24
42,494,352,Mithril,1
43,257,749,Zloto,7
44,643,215,Zelazo,10
45,271,897,Srebro,4
46,892,386,Miedz,13
47,184,331,Wegiel,26
48,546,968,Mithril,2
49,392,653,Zloto,5
50,978,514,Zelazo,12
51,447,189,Srebro,9
52,715,786,Miedz,14
53,34,82,Wegiel,21
54,628,495,Mithril,3
55,196,587,Zloto,8
56,873,312,Zelazo,15
57,351,629,Srebro,6
58,918,224,Miedz,16
59,95,837,Wegiel,23
60,426,441,Mithril,4
61,283,795,Zloto,4
62,691,158,Zelazo,11
63,214,942,Srebro,7
64,839,463,Miedz,12
65,167,265,Wegiel,27
66,582,914,Mithril,1
67,325,718,Zloto,6
68,956,421,Zelazo,10
69,489,134,Srebro,5
70,732,865,Miedz,14
71,108,542,Wegiel,20
72,664,379,Mithril,2
73,241,673,Zloto,7
74,805,196,Zelazo,13
75,376,508,Srebro,8
76,982,274,Miedz,15
77,41,729,Wegiel,25
78,537,991,Mithril,3
79,304,612,Zloto,5
80,859,367,Zelazo,12
81,462,173,Srebro,9
82,774,825,Miedz,16
83,19,98,Wegiel,29
84,593,456,Mithril,1
85,208,551,Zloto,6
86,884,293,Zelazo,11
87,347,642,Srebro,4
88,935,218,Miedz,13
89,116,804,Wegiel,22
90,439,407,Mithril,4
91,262,761,Zloto,8
92,658,165,Zelazo,14
93,229,953,Srebro,5
94,827,481,Miedz,17
95,154,246,Wegiel,19
96,571,928,Mithril,2
97,338,694,Zloto,7
98,963,435,Zelazo,10
99,405,149,Srebro,6
100,746,843,Miedz,15
